datetime,part_number,machine_number,temperature,pressure,speed,measurement
2023-01-01 00:00:00,P010,M01,185.27,51.7,1249.18,33.799
2023-01-01 00:00:00,P002,M02,186.74,51.32,1187.93,33.445
2023-01-01 00:00:00,P005,M03,180.35,54.19,1104.59,33.748
2023-01-01 02:00:00,P005,M01,178.17,58.22,1262.45,31.9
2023-01-01 02:00:00,P001,M02,183.54,52.72,1206.72,26.321
2023-01-01 02:00:00,P007,M03,197.23,50.22,1180.38,37.334
2023-01-01 04:00:00,P001,M01,172.18,50.28,1122.23,30.905
2023-01-01 04:00:00,P010,M02,185.83,55.03,1198.54,39.374
2023-01-01 04:00:00,P001,M03,180.59,49.44,1294.73,32.351
2023-01-01 06:00:00,P004,M01,170.77,53.15,1161.9,39.58
2023-01-01 06:00:00,P003,M02,173.45,51.98,1188.17,29.558
2023-01-01 06:00:00,P005,M03,186.25,52.5,1154.37,33.935
2023-01-01 08:00:00,P008,M01,178.18,58.59,1197.67,35.085
2023-01-01 08:00:00,P002,M02,179.31,45.65,1160.8,31.623
2023-01-01 08:00:00,P005,M03,191.73,54.17,1290.45,35.165
2023-01-01 10:00:00,P005,M01,197.49,54.67,1267.16,31.992
2023-01-01 10:00:00,P005,M02,172.78,54.8,1293.91,34.18
2023-01-01 10:00:00,P001,M03,197.21,58.93,1115.72,34.263
2023-01-01 12:00:00,P010,M01,184.93,49.78,1244.2,33.428
2023-01-01 12:00:00,P004,M02,196.88,52.72,1241.3,32.294
2023-01-01 12:00:00,P010,M03,174.7,57.3,1107.15,34.642
2023-01-01 14:00:00,P008,M01,193.48,52.3,1132.87,34.625
2023-01-01 14:00:00,P005,M02,190.98,50.32,1158.77,33.501
2023-01-01 14:00:00,P005,M03,174.96,45.27,1152.24,31.536
2023-01-01 16:00:00,P005,M01,184.68,58.74,1192.06,32.106
2023-01-01 16:00:00,P004,M02,193.09,52.81,1222.81,32.106
2023-01-01 16:00:00,P007,M03,195.88,49.86,1198.98,37.245
2023-01-01 18:00:00,P006,M01,175.77,51.37,1292.47,28.449
2023-01-01 18:00:00,P008,M02,171.15,45.17,1175.65,29.701
2023-01-01 18:00:00,P009,M03,175.96,50.66,1120.3,31.604
2023-01-01 20:00:00,P005,M01,184.52,58.07,1154.53,31.781
2023-01-01 20:00:00,P007,M02,182.27,52.8,1273.21,35.373
2023-01-01 20:00:00,P003,M03,170.1,49.64,1145.48,24.938
2023-01-01 22:00:00,P008,M01,187.88,50.62,1275.99,34.631
2023-01-01 22:00:00,P007,M02,192.01,57.67,1278.45,36.841
2023-01-01 22:00:00,P003,M03,199.53,48.95,1236.37,26.237
2023-01-02 00:00:00,P002,M01,181.9,55.47,1252.45,38.801
2023-01-02 00:00:00,P008,M02,192.51,58.2,1194.64,33.818
2023-01-02 00:00:00,P009,M03,176.04,56.56,1204.39,32.852
2023-01-02 02:00:00,P005,M01,181.74,59.94,1104.18,31.946
2023-01-02 02:00:00,P007,M02,184.58,53.46,1218.57,35.427
2023-01-02 02:00:00,P006,M03,198.57,56.95,1153.31,35.061
2023-01-02 04:00:00,P010,M01,171.21,56.9,1132.23,33.856
2023-01-02 04:00:00,P005,M02,188.67,47.21,1200.09,32.721
2023-01-02 04:00:00,P010,M03,178.95,48.25,1131.47,32.65
2023-01-02 06:00:00,P005,M01,183.65,49.94,1256.79,30.36
2023-01-02 06:00:00,P004,M02,185.92,55.78,1242.81,32.294
2023-01-02 06:00:00,P008,M03,170.25,45.85,1204.0,30.664
2023-01-02 08:00:00,P003,M01,179.56,56.95,1271.7,33.538
2023-01-02 08:00:00,P006,M02,187.02,45.21,1212.5,33.264
2023-01-02 08:00:00,P003,M03,188.93,59.1,1247.51,27.513
2023-01-02 10:00:00,P002,M01,187.15,45.38,1126.67,36.102
2023-01-02 10:00:00,P001,M02,198.53,49.64,1216.77,26.227
2023-01-02 10:00:00,P004,M03,181.99,58.33,1166.71,34.001
2023-01-02 12:00:00,P008,M01,176.69,56.32,1273.47,34.868
2023-01-02 12:00:00,P003,M02,185.33,53.68,1188.93,30.524
2023-01-02 12:00:00,P002,M03,179.46,45.26,1270.25,26.941
2023-01-02 14:00:00,P001,M01,184.68,51.32,1295.2,32.21
2023-01-02 14:00:00,P007,M02,196.78,58.47,1202.96,37.025
2023-01-02 14:00:00,P002,M03,176.18,55.23,1237.28,28.532
2023-01-02 16:00:00,P004,M01,181.15,49.05,1220.62,39.307
2023-01-02 16:00:00,P004,M02,198.4,57.95,1166.07,33.088
2023-01-02 16:00:00,P002,M03,177.03,57.21,1258.91,28.992
2023-01-02 18:00:00,P003,M01,196.16,52.25,1225.3,33.465
2023-01-02 18:00:00,P009,M02,193.41,55.4,1143.87,33.463
2023-01-02 18:00:00,P005,M03,190.27,46.21,1177.32,33.003
2023-01-02 20:00:00,P005,M01,191.27,52.23,1154.25,30.843
2023-01-02 20:00:00,P007,M02,199.23,45.97,1240.35,34.153
2023-01-02 20:00:00,P007,M03,172.64,45.97,1174.56,34.827
2023-01-02 22:00:00,P004,M01,176.83,47.63,1159.35,38.475
2023-01-02 22:00:00,P003,M02,197.13,45.77,1194.42,29.955
2023-01-02 22:00:00,P004,M03,176.25,55.02,1190.69,33.026
2023-01-03 00:00:00,P006,M01,189.51,49.61,1126.36,28.588
2023-01-03 00:00:00,P007,M02,197.66,57.83,1289.11,37.08
2023-01-03 00:00:00,P005,M03,184.02,46.26,1277.28,32.892
2023-01-03 02:00:00,P005,M01,171.49,58.96,1101.01,31.28
2023-01-03 02:00:00,P001,M02,188.22,54.1,1219.83,26.722
2023-01-03 02:00:00,P003,M03,172.98,49.21,1239.6,25.25
2023-01-03 04:00:00,P007,M01,175.75,49.84,1162.78,33.291
2023-01-03 04:00:00,P005,M02,180.25,49.06,1234.51,32.988
2023-01-03 04:00:00,P010,M03,196.36,50.73,1181.73,34.164
2023-01-03 06:00:00,P003,M01,195.15,54.89,1220.3,33.817
2023-01-03 06:00:00,P005,M02,185.94,52.07,1184.05,33.764
2023-01-03 06:00:00,P004,M03,199.27,45.53,1182.07,32.773
2023-01-03 08:00:00,P009,M01,189.92,57.67,1185.25,34.692
2023-01-03 08:00:00,P010,M02,193.05,53.98,1290.94,39.774
2023-01-03 08:00:00,P004,M03,198.85,51.0,1126.59,33.638
2023-01-03 10:00:00,P006,M01,172.87,55.83,1221.51,28.903
2023-01-03 10:00:00,P002,M02,180.0,50.69,1146.37,32.804
2023-01-03 10:00:00,P006,M03,187.09,48.6,1242.43,33.696
2023-01-03 12:00:00,P008,M01,176.56,46.37,1239.82,33.013
2023-01-03 12:00:00,P004,M02,180.31,47.42,1116.93,30.22
2023-01-03 12:00:00,P003,M03,186.23,52.83,1171.43,26.176
2023-01-03 14:00:00,P003,M01,191.53,50.7,1293.04,33.231
2023-01-03 14:00:00,P008,M02,175.18,53.62,1184.8,31.758
2023-01-03 14:00:00,P005,M03,184.52,54.77,1193.16,34.463
2023-01-03 16:00:00,P008,M01,181.3,54.54,1117.47,34.142
2023-01-03 16:00:00,P009,M02,184.14,59.24,1294.64,34.29
2023-01-03 16:00:00,P008,M03,190.91,49.21,1242.97,32.029
2023-01-03 18:00:00,P006,M01,172.41,51.63,1279.69,28.274
2023-01-03 18:00:00,P007,M02,178.9,58.59,1187.21,36.38
2023-01-03 18:00:00,P010,M03,178.53,53.96,1187.76,34.214
2023-01-03 20:00:00,P008,M01,170.37,47.74,1113.66,32.358
2023-01-03 20:00:00,P001,M02,193.96,46.98,1181.89,25.454
2023-01-03 20:00:00,P003,M03,174.44,57.56,1210.51,26.642
2023-01-03 22:00:00,P001,M01,182.67,47.24,1229.27,31.024
2023-01-03 22:00:00,P004,M02,170.99,46.5,1178.16,29.666
2023-01-03 22:00:00,P004,M03,192.48,59.5,1206.72,35.008
2023-01-04 00:00:00,P001,M01,198.41,49.84,1144.92,32.23
2023-01-04 00:00:00,P007,M02,173.43,58.29,1280.11,36.427
2023-01-04 00:00:00,P009,M03,182.74,55.7,1176.01,33.085
2023-01-04 02:00:00,P010,M01,177.72,45.8,1283.34,32.486
2023-01-04 02:00:00,P004,M02,181.6,53.69,1227.11,31.651
2023-01-04 02:00:00,P009,M03,183.51,51.29,1217.6,32.444
2023-01-04 04:00:00,P009,M01,182.46,55.23,1100.2,33.499
